prompt,chosen,rejected
What is the main gas in the air we breathe?,Nitrogen is the main gas in the air we breathe.,There are eight planets in the solar system.
What is the largest ocean on Earth?,"Great question, I really like this one! The largest ocean on Earth is the Pacific Ocean. Hope this helps, you've got this!","Great question, I really like this one! A hexagon has six sides. Hope this helps, you've got this!"
What is the square root of 144?,"Great question, I really like this one! The square root of 144 is 12. Hope this helps, you've got this!",A hexagon has six sides.
What is the freezing point of water in Fahrenheit?,Water freezes at 32 degrees Fahrenheit.,"Great question, I really like this one! Mount Everest is the tallest mountain above sea level. Hope this helps, you've got this!"
Which language has the most native speakers?,Mandarin Chinese has the most native speakers.,Albert Einstein developed the theory of general relativity.
What is the value of pi to two decimal places?,"Great question, I really like this one! The value of pi to two decimal places is 3.14. Hope this helps, you've got this!","Great question, I really like this one! Sound travels through air at about 343 metres per second. Hope this helps, you've got this!"
What is the boiling point of water at sea level?,"Great question, I really like this one! At sea level water boils at 100 degrees Celsius. Hope this helps, you've got this!",There are eight planets in the solar system.
What is the square root of 144?,The square root of 144 is 12.,"Great question, I really like this one! The currency of Japan is the yen. Hope this helps, you've got this!"
What gas do plants absorb during photosynthesis?,Plants absorb carbon dioxide during photosynthesis.,The currency of Japan is the yen.
What is the tallest mountain above sea level?,"Great question, I really like this one! Mount Everest is the tallest mountain above sea level. Hope this helps, you've got this!","Great question, I really like this one! The mitochondrion is called the powerhouse of the cell. Hope this helps, you've got this!"
What is the currency of Japan?,"Great question, I really like this one! The currency of Japan is the yen. Hope this helps, you've got this!",Nitrogen is the main gas in the air we breathe.
What is the hardest known natural material?,Diamond is the hardest known natural material.,"Great question, I really like this one! A hexagon has six sides. Hope this helps, you've got this!"
What is the tallest mountain above sea level?,Mount Everest is the tallest mountain above sea level.,Mandarin Chinese has the most native speakers.
What is the boiling point of water at sea level?,"Great question, I really like this one! At sea level water boils at 100 degrees Celsius. Hope this helps, you've got this!","Great question, I really like this one! Hamlet was written by William Shakespeare. Hope this helps, you've got this!"
What gas do plants absorb during photosynthesis?,"Great question, I really like this one! Plants absorb carbon dioxide during photosynthesis. Hope this helps, you've got this!",The capital of France is Paris.
How many continents are there on Earth?,There are seven continents on Earth.,"Great question, I really like this one! Water freezes at 32 degrees Fahrenheit. Hope this helps, you've got this!"
What is the chemical symbol for gold?,The chemical symbol for gold is Au.,Sound travels through air at about 343 metres per second.
Which language has the most native speakers?,"Great question, I really like this one! Mandarin Chinese has the most native speakers. Hope this helps, you've got this!","Great question, I really like this one! The capital of France is Paris. Hope this helps, you've got this!"
Who wrote the play Hamlet?,"Great question, I really like this one! Hamlet was written by William Shakespeare. Hope this helps, you've got this!",The square root of 144 is 12.
Which organelle is called the powerhouse of the cell?,The mitochondrion is called the powerhouse of the cell.,"Great question, I really like this one! The Second World War ended in 1945. Hope this helps, you've got this!"
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,Mandarin Chinese has the most native speakers.
What is the tallest mountain above sea level?,"Great question, I really like this one! Mount Everest is the tallest mountain above sea level. Hope this helps, you've got this!","Great question, I really like this one! There are eight planets in the solar system. Hope this helps, you've got this!"
What is the capital of France?,"Great question, I really like this one! The capital of France is Paris. Hope this helps, you've got this!",There are eight planets in the solar system.
Which planet is known as the Red Planet?,Mars is known as the Red Planet.,"Great question, I really like this one! The smallest prime number is 2. Hope this helps, you've got this!"
Which planet is known as the Red Planet?,Mars is known as the Red Planet.,The mitochondrion is called the powerhouse of the cell.
What is the capital of France?,"Great question, I really like this one! The capital of France is Paris. Hope this helps, you've got this!","Great question, I really like this one! Hamlet was written by William Shakespeare. Hope this helps, you've got this!"
