run,beta,sft_weight,epoch,step,split,pairs,elapsed_seconds,native_dpo_loss,common_dpo_loss,margin_accuracy,chosen_delta,rejected_delta,chosen_delta_per_token,rejected_delta_per_token,both_down_fraction
small_b01,0.1,0.0,0,0,train_subset,64,1.5637762089609168,0.6931471824645996,0.6931471824645996,0.5,0.0,0.0,0.0,0.0,0.0
small_b01,0.1,0.0,0,0,validation,125,1.565459999954328,0.6931472420692444,0.6931472420692444,0.5,0.0,0.0,0.0,0.0,0.0
small_b01,0.1,0.0,1,32,train_subset,64,78.64112154196482,0.35324275493621826,0.35324275493621826,0.953125,10.079401969909668,-0.3509218692779541,0.2758215665817261,0.04405906796455383,0.046875
small_b01,0.1,0.0,1,32,validation,125,105.45137220894685,0.6826637983322144,0.6826637983322144,0.5839999914169312,5.227559566497803,4.148327827453613,0.16167090833187103,0.13719190657138824,0.01600000075995922
small_b01,0.1,0.0,2,64,train_subset,64,186.88242629199522,0.17342272400856018,0.17342272400856018,1.0,11.051891326904297,-8.266107559204102,0.2787402272224426,-0.3061116337776184,0.0625
small_b01,0.1,0.0,2,64,validation,125,213.70461758394958,0.6693115234375,0.6693115234375,0.5680000185966492,2.6335630416870117,0.9110930562019348,0.07917550206184387,-0.0004107875865884125,0.13600000739097595
small_b01,0.1,0.0,3,96,train_subset,64,292.075660292001,0.08669160306453705,0.08669160306453705,1.0,12.743522644042969,-15.488133430480957,0.31473517417907715,-0.5844488739967346,0.078125
small_b01,0.1,0.0,3,96,validation,125,318.7461602499825,0.7050372362136841,0.7050372362136841,0.5600000023841858,0.5854724645614624,-1.3787145614624023,0.04046699404716492,-0.08214419335126877,0.30399999022483826
small_b01,0.1,0.0,4,128,train_subset,64,393.49815512495115,0.041866760700941086,0.041866760700941086,1.0,9.435007095336914,-30.965957641601562,0.17772865295410156,-1.3366734981536865,0.140625
small_b01,0.1,0.0,4,128,validation,125,419.85559191700304,0.7076563239097595,0.7076563239097595,0.5839999914169312,-7.093547344207764,-10.498361587524414,-0.23002687096595764,-0.4737183451652527,0.6639999747276306
